country,year,gdppc,growth5
United Kingdom,1994,27277.543,0.837070866012124
United Kingdom,1995,27861.215,1.2456160315007514
United Kingdom,1996,28472.248,1.996977027404001
United Kingdom,1997,29259.764,2.556518394359486
United Kingdom,1998,30077.385,2.681938765575831
United Kingdom,1999,30932.537,2.546787193080635
United Kingdom,2000,31946.037,2.774030287092688
United Kingdom,2001,32660.441,2.782708367721831
United Kingdom,2002,33271.3,2.6029364504153385
United Kingdom,2003,34232.426,2.621774632089613
United Kingdom,2004,34865.78,2.4228293903369336
United Kingdom,2005,35623.625,2.2031365022246785
United Kingdom,2006,36214.07,2.0871450150682813
United Kingdom,2007,36816.676,2.0457591934002872
United Kingdom,2008,36264.79,1.1601577184662926
United Kingdom,2009,34402.36,-0.2672555498159035
United Kingdom,2010,34754.473,-0.49279691604600107
United Kingdom,2011,34971.0,-0.6961370766179309
United Kingdom,2012,35243.64,-0.8695138165597083
United Kingdom,2013,35660.56,-0.335475656913109
United Kingdom,2014,36521.86,1.2028936412870506
United Kingdom,2015,37101.227,1.3154115838067693
United Kingdom,2016,37593.906,1.4569681249318345
United Kingdom,2017,38283.938,1.66867638547612
United Kingdom,2018,38704.6,1.651755905236052
United Kingdom,2019,39113.01,1.3803229467592493
United Kingdom,2020,34651.184,-1.3570705626777535
United Kingdom,2021,37134.33,-0.2456993460689727
United Kingdom,2022,38406.53,0.06396169403219965
France,1955,9881.0,3.63372285198571
France,1956,10278.0,3.3779623269003745
France,1957,10779.0,3.977833319938018
France,1958,10927.0,3.818452023753438
France,1959,11124.0,3.363755779248545
France,1960,11792.0,3.5994176670249622
France,1961,12302.0,3.660529255078271
France,1962,12859.0,3.591887180015063
France,1963,13330.0,4.055691885130774
France,1964,14057.0,4.791566590440088
France,1965,14609.0,4.37743104290107
France,1966,15213.0,4.339278317440987
France,1967,15792.0,4.194786186411492
France,1968,16365.0,4.187873015837518
France,1969,17352.0,4.301698040387869
France,1970,18187.0,4.478785495897775
France,1971,18881.0,4.41479145071213
France,1972,19549.0,4.360819858191345
France,1973,20441.0,4.548360259690676
France,1974,20902.0,3.7929034558887853
France,1975,20653.0,2.5756825867847555
France,1976,21465.0,2.5985398588437736
France,1977,22177.0,2.5547192320541035
France,1978,22698.0,2.1167750019648324
France,1979,23326.0,2.2187311170035917
France,1980,23537.0,2.6487328216986183
France,1981,23655.0,1.962015561275643
France,1982,24120.0,1.6938996218415214
France,1983,24300.0,1.373335501655859
France,1984,24519.0,1.0025867374057862
France,1985,24755.0,1.014185102483256
France,1986,25238.0,1.303954015015374
France,1987,25756.0,1.3211761717392356
France,1988,26763.0,1.9496417705827884
France,1989,27576.0,2.377778926966956
France,1990,28129.0,2.588403778971382
France,1991,28294.264,2.31249913333762
France,1992,28619.805,2.13101564709679
France,1993,28336.16,1.1489177579161902
France,1994,28907.977,0.94789934774544
France,1995,29418.863,0.9007322895761227
France,1996,29736.645,0.999381291656487
France,1997,30341.807,1.1754056301782168
France,1998,31323.078,2.024549827619704
France,1999,32284.611,2.234051360502942
France,2000,33409.68,2.576833019393887
France,2001,33920.098,2.6675092522575383
France,2002,34152.773,2.39456515637535
France,2003,34292.03,1.827657377338121
France,2004,35093.824,1.6826900621783825
France,2005,35495.465,1.218549821344439
France,2006,36166.16,1.290580522490914
France,2007,36845.684,1.5294726214763577
France,2008,36761.793,1.4006404574138598
France,2009,35534.926,0.25012996931232934
France,2010,36086.727,0.33095008968586637
France,2011,36691.0,0.2885679256061424
France,2012,36625.926,-0.11957121674970317
France,2013,36647.22,-0.06241050345617838
France,2014,36818.54,0.7122339835309077
France,2015,37077.89,0.5433852207968881
France,2016,37343.84,0.35335238732880914
France,2017,38037.336,0.7591037619926633
France,2018,38555.465,1.020376317379057
France,2019,39084.656,1.2017322212388715
France,2020,35913.82,-0.635942381416088
France,2021,38242.133,0.4765296948012532
France,2022,39065.71,0.5349637771180804
Germany,1955,9240.0,8.355861924321362
Germany,1956,9846.0,7.990403815825453
Germany,1957,10348.0,7.354402564106888
Germany,1958,10739.0,6.554951381081353
Germany,1959,11440.0,6.4639070600643445
Germany,1960,12282.0,5.8569616084906295
Germany,1961,12675.0,5.18108035720013
Germany,1962,13106.0,4.838970768922413
Germany,1963,13367.0,4.475394840685976
Germany,1964,14062.0,4.213555658840806
Germany,1965,14642.0,3.5776997266814714
Germany,1966,14964.0,3.376052987864675
Germany,1967,14979.0,2.7075882664814532
Germany,1968,15723.0,3.2999932816015765
Germany,1969,16641.0,3.4252228638911086
Germany,1970,17277.0,3.3650183684220236
Germany,1971,17657.0,3.3650796197916
Germany,1972,18301.0,4.087457430455577
Germany,1973,19074.0,3.9396554333918754
Germany,1974,19228.0,2.932124961114413
Germany,1975,19193.0,2.125667002422582
Germany,1976,20218.0,2.7458418834954923
Germany,1977,20837.0,2.6294671685350046
Germany,1978,21447.0,2.3728878897967043
Germany,1979,22305.0,3.0133765997539586
Germany,1980,22497.0,3.2277232939925904
Germany,1981,22553.0,2.2099616977834913
Germany,1982,22380.0,1.4390044076335595
Germany,1983,22840.0,1.2665255376421714
Germany,1984,23564.0,1.1042372886199248
Germany,1985,24133.0,1.413866498441374
Germany,1986,24657.0,1.7998605422160363
Germany,1987,25027.0,2.260930997381605
Germany,1988,25759.0,2.4345773613081656
Germany,1989,26393.0,2.2934788891667335
Germany,1990,25391.0,1.0214734236773992
Germany,1991,26769.96,1.6579850645515037
Germany,1992,27385.055,1.8171566574340936
Germany,1993,27250.701,1.1322654448189473
Germany,1994,28140.057,1.2901567005975778
Germany,1995,28868.945,2.600675841025546
Germany,1996,29349.982,1.8572679950419557
Germany,1997,30186.945,1.9673444824435116
Germany,1998,31129.584,2.6973240994357273
Germany,1999,32087.604,2.6602844576751883
Germany,2000,33367.285,2.9385369835632114
Germany,2001,34260.29,3.1422590255343996
Germany,2002,34590.93,2.7610693580293555
Germany,2003,34716.44,2.205054324109401
Germany,2004,35528.715,2.0583263765044046
Germany,2005,36205.574,1.6461452102608076
Germany,2006,38014.137,2.101193829666914
Germany,2007,39752.207,2.820521286471478
Germany,2008,40715.434,3.2392347887792994
Germany,2009,38962.938,1.8625254770026967
Germany,2010,41109.582,2.573110307641846
Germany,2011,43189.0,2.585410960208301
Germany,2012,43288.32,1.7189567296572061
Germany,2013,43359.137,1.2661530828291134
Germany,2014,44132.758,2.523134173467456
Germany,2015,44405.168,1.5542472318065936
Germany,2016,45030.47,0.8385672127402488
Germany,2017,46065.1,1.2512182625018298
Germany,2018,46377.39,1.354989940926532
Germany,2019,46761.945,1.1640714392163742
Germany,2020,44996.43,0.2648961159758656
Germany,2021,46159.05,0.4963009062572077
Germany,2022,46647.793,0.25171633526748227
Italy,1955,7453.0,5.951780126554818
Italy,1956,7745.0,5.386306667718821
Italy,1957,8158.0,5.069150075355489
Italy,1958,8544.0,4.70279932185913
Italy,1959,9011.0,4.906126715922876
Italy,1960,9430.0,4.818059250848861
Italy,1961,10158.0,5.574092573063538
Italy,1962,10882.0,5.9314712522161805
Italy,1963,11576.0,6.262359676942286
Italy,1964,11934.0,5.779767656564316
Italy,1965,12111.0,5.131693992162467
Italy,1966,12659.0,4.500468687558956
Italy,1967,13476.0,4.368743773945072
Italy,1968,14513.0,4.626027339917349
Italy,1969,15248.0,5.023229765510395
Italy,1970,15492.0,5.047445731878786
Italy,1971,15683.0,4.377273574931206
Italy,1972,16035.0,3.5384340764534894
Italy,1973,16950.0,3.15315162501002
Italy,1974,17607.0,2.9187484222979343
Italy,1975,17123.0,2.0221504985903582
Italy,1976,18147.0,2.961565995242954
Italy,1977,18599.0,3.01112401314525
Italy,1978,19230.0,2.556198988699432
Italy,1979,20275.0,2.862032080343213
Italy,1980,20959.0,4.12574942967312
Italy,1981,21041.0,3.0035771750012152
Italy,1982,21123.0,2.5777575950787224
Italy,1983,21345.0,2.108847648436285
Italy,1984,21868.0,1.5242150748813188
Italy,1985,22469.0,1.4010932436683055
Italy,1986,23106.0,1.8900272823378028
Italy,1987,23824.0,2.4358124412497517
Italy,1988,24743.0,2.998580449583943
Italy,1989,25454.0,3.0835567657752305
Italy,1990,26003.0,2.9646013452170994
Italy,1991,26570.363,2.833482528076825
Italy,1992,26960.611,2.5045185066117304
Italy,1993,26902.398,1.6875368501695132
Italy,1994,27668.258,1.6822518202757042
Italy,1995,28666.352,1.9693837535126102
Italy,1996,29231.275,1.927190645613308
Italy,1997,29960.7,2.132613455582999
Italy,1998,30649.629,2.64241122034945
Italy,1999,31340.48,2.523816677714197
Italy,2000,32716.98,2.6786513754637253
Italy,2001,33511.434,2.770637546862975
Italy,2002,33780.055,2.428704358768674
Italy,2003,33917.8,2.047058473320673
Italy,2004,34472.13,1.9230696647014378
Italy,2005,34872.125,1.2840457760799229
Italy,2006,35713.805,1.2811495881579482
Italy,2007,36310.734,1.4553457251526902
Italy,2008,35942.938,1.1666058822004999
Italy,2009,34055.227,-0.243056959546728
Italy,2010,34765.938,-0.06097510504653458
Italy,2011,35151.0,-0.3171807429381279
Italy,2012,34010.035,-1.300623272105328
Italy,2013,33317.242,-1.505700927493514
Italy,2014,33310.703,-0.44111966854587514
Italy,2015,33620.742,-0.6676595114633921
Italy,2016,34120.42,-0.5933732519275647
Italy,2017,34754.77,0.4341637848438884
Italy,2018,35149.824,1.076645972767576
